claim_number,age_of_driver,sex,marital_status,safety_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,police_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight,fraud
1,39,M,1,73,1981650,1,0,Own,50048,2020-07-10,Friday,Highway,0,0,25,Phone,0,5196.55,8,Medium,24360.59,silver,2761,0
2,56,M,,63,116260,1,1,Own,85068,2018-11-30,Friday,Highway,0,1,50,Broker,1,7381.17,6,Medium,39710.43,other,1864,0
3,33,M,1,72,89800,0,1,Own,50006,2019-09-15,Sunday,Local,0,1,45,Phone,0,7957.27,2,Medium,23457.35,black,2767,0
4,24,F,1,70,73880,1,1,Rent,20122,2020-08-02,Sunday,Local,0,1,11,Online,0,6232.20,1,Medium,18238.39,silver,2454,0
5,46,F,0,56,106380,1,1,Rent,15034,2020-04-13,Monday,Highway,0,0,50,Broker,0,9548.98,3,Medium,76187.88,black,2593,0
6,65,F,1,85,123745,0,0,Own,15017,2020-09-24,Thursday,Parking Lot,0,0,10,Broker,1,4028.56,10,Medium,22348.53,blue,2767,0
7,40,M,1,79,1995550,1,1,Own,50023,2019-02-14,Thursday,Local,3,1,2,Broker,1,6970.68,8,Medium,212573.6,silver,2055,1
8,60,F,1,94,119780,0,1,Rent,20120,2019-03-15,Friday,Parking Lot,2,0,1,Broker,1,7017.65,3,Large,15212.28,red,3811,1
9,46,M,1,67,106365,1,1,Own,50054,2018-12-23,Sunday,Parking Lot,0,0,29,Broker,0,5219.47,5,Large,22364.22,white,4002,0
10,71,M,0,36,128060,1,0,Own,80023,2019-08-29,Thursday,Parking Lot,0,0,5,Broker,0,7887.11,7,Medium,13976.47,red,1768,0
11,40,M,1,62,99490,,1,Rent,20130,2019-07-23,Tuesday,Parking Lot,0,0,50,Broker,1,6452.87,3,Medium,42355.03,other,2000,0
12,125,F,1,90,76000,1,1,Rent,50037,2019-04-18,Thursday,Parking Lot,0,0,27,Online,1,6928.35,10,Compact,24877.84,white,1154,0
13,53,F,1,93,113520,0,1,Own,85027,2019-01-23,Wednesday,Parking Lot,0,0,100,Phone,0,5671.60,1,Medium,32910.34,red,2284,0
14,33,F,0,84,1,1,1,Rent,85071,2019-09-16,Monday,Highway,0,0,0,Online,1,6535.27,6,Medium,20296.58,blue,2139,0
15,41,M,1,87,100635,1,0,Own,80046,2019-08-02,Friday,Local,0,0,25,Phone,0,4064.57,6,Large,28570.38,red,3416,0
16,42,F,0,68,101810,1,0,Own,80042,2019-04-23,Tuesday,Local,0,1,84,Phone,1,2812.37,4,Compact,12689.88,white,1086,0
17,31,M,1,95,86720,1,0,Own,80104,2020-04-28,Tuesday,Parking Lot,3,0,49,Broker,1,3603.91,5,Medium,18410.05,white,2784,1
18,38,M,0,75,96915,1,1,Own,80040,2020-07-03,Friday,Highway,1,0,49,Broker,1,5105.65,8,Medium,17741.73,other,1875,0
19,42,F,0,47,101910,0,1,Rent,85035,2018-12-28,Friday,Parking Lot,0,0,27,Broker,0,4742.04,6,Medium,21724.12,white,2852,0
